World,Expected,Severity,MAE,Temporal,Context,Provenance,Q_evidence,Lagged_Rainfall,Interaction,Strongest_Context,Strongest_Lag,Rich_ETMR_Decision,Correct,Parameter_Explanation,Independent_Structural_Evidence,Structural_Excess
B_Parameter_0.02,RECALIBRATE,0.02,0.0004085720354728,0.8994497031414082,0.9999997568595644,1.0,1.0,0.0,0.0,,,,,0.8994497031414082,0.9999997568595644,0.10055005371815628
B_Parameter_0.05,RECALIBRATE,0.05,0.0010214300886821,0.899449703141408,0.9999997568595644,1.0,1.0,0.0,0.0,,,,,0.899449703141408,0.9999997568595644,0.1005500537181564
B_Parameter_0.10,RECALIBRATE,0.1,0.0020428601773643,0.8994497031414084,0.9999997568595642,1.0,1.0,0.0,0.0,,,,,0.8994497031414084,0.9999997568595642,0.10055005371815584
B_Parameter_0.15,RECALIBRATE,0.15,0.0030642902660465,0.8994497031414084,0.9999997568595644,1.0,1.0,0.0,0.0,,,,,0.8994497031414084,0.9999997568595644,0.10055005371815606
B_Parameter_0.20,RECALIBRATE,0.2,0.0040857203547287,0.899449703141408,0.9999997568595644,1.0,1.0,0.0,0.0,,,,,0.899449703141408,0.9999997568595644,0.1005500537181564
C_Structural_0.002,REVISE,0.002,0.002830073266119,0.4145532215458737,0.9108359948627528,1.0,1.0,0.0,0.0,,,,,0.4145532215458737,0.9108359948627528,0.4962827733168791
C_Structural_0.005,REVISE,0.005,0.0070751831652975,0.4145532215458735,0.9108359948627536,1.0,1.0,0.0,0.0,,,,,0.4145532215458735,0.9108359948627536,0.4962827733168801
C_Structural_0.010,REVISE,0.01,0.014150366330595,0.4145532215458735,0.9108359948627536,1.0,1.0,0.0,0.0,,,,,0.4145532215458735,0.9108359948627536,0.4962827733168801
C_Structural_0.015,REVISE,0.015,0.0212255494958925,0.4145532215458737,0.9108359948627528,1.0,1.0,0.0,0.0,,,,,0.4145532215458737,0.9108359948627528,0.4962827733168791
C_Structural_0.025,REVISE,0.025,0.0353759158264875,0.4145532215458735,0.9108359948627532,1.0,1.0,0.0,0.0,,,,,0.4145532215458735,0.9108359948627532,0.49628277331687976
B_UnseenParameter_0.03,RECALIBRATE,0.03,0.0006128580532093,0.8994497031414079,0.999999756859564,1.0,1.0,0.0,0.0,,,,,0.8994497031414079,0.999999756859564,0.10055005371815606
B_UnseenParameter_0.07,RECALIBRATE,0.07,0.001430002124155,0.8994497031414085,0.9999997568595644,1.0,1.0,0.0,0.0,,,,,0.8994497031414085,0.9999997568595644,0.10055005371815595
B_UnseenParameter_0.12,RECALIBRATE,0.12,0.0024514322128372,0.8994497031414084,0.9999997568595644,1.0,1.0,0.0,0.0,,,,,0.8994497031414084,0.9999997568595644,0.10055005371815606
B_UnseenParameter_0.17,RECALIBRATE,0.17,0.0034728623015194,0.8994497031414087,0.999999756859564,1.0,1.0,0.0,0.0,,,,,0.8994497031414087,0.999999756859564,0.10055005371815529
B_UnseenParameter_0.22,RECALIBRATE,0.22,0.0044942923902016,0.8994497031414087,0.9999997568595644,1.0,1.0,0.0,0.0,,,,,0.8994497031414087,0.9999997568595644,0.10055005371815573
C_UnseenStructural_0.003,REVISE,0.003,0.0042451098991785,0.4145532215458735,0.9108359948627532,1.0,1.0,0.0,0.0,,,,,0.4145532215458735,0.9108359948627532,0.49628277331687976
C_UnseenStructural_0.007,REVISE,0.007,0.0099052564314165,0.4145532215458738,0.9108359948627534,1.0,1.0,0.0,0.0,,,,,0.4145532215458738,0.9108359948627534,0.49628277331687953
C_UnseenStructural_0.012,REVISE,0.012,0.016980439596714,0.4145532215458735,0.9108359948627532,1.0,1.0,0.0,0.0,,,,,0.4145532215458735,0.9108359948627532,0.49628277331687976
C_UnseenStructural_0.018,REVISE,0.018,0.025470659395071,0.4145532215458734,0.9108359948627534,1.0,1.0,0.0,0.0,,,,,0.4145532215458734,0.9108359948627534,0.49628277331688
C_UnseenStructural_0.030,REVISE,0.03,0.042451098991785,0.4145532215458737,0.9108359948627528,1.0,1.0,0.0,0.0,,,,,0.4145532215458737,0.9108359948627528,0.4962827733168791
C1_Temperature_Nonlinear,REVISE,,0.0630282893909729,0.9744327512430596,0.9939309023325014,1.0,1.0,0.0875714629570499,0.627413068522098,temperature,rainfall_lag1,REVISE,True,0.3312671337983384,0.9939309023325014,0.662663768534163
C2_Rainfall_Saturation,REVISE,,0.0153460303873481,0.3855497251633543,1.0,1.0,1.0,0.2380731631973483,0.2562595066155793,log_rainfall,rainfall_lag1,REVISE,True,0.21848171495722957,1.0,0.7815182850427704
C3_Rainfall_Temperature_Interaction,REVISE,,0.0203003396534332,0.4934020172139128,0.915499932761671,1.0,1.0,0.2777694395555042,0.6783218388610277,rainfall_temperature,rainfall_lag1,REVISE,True,0.11463001768113643,0.915499932761671,0.8008699150805345
C4_Rainfall_Threshold,REVISE,,0.0483832686980609,0.2099111440737031,0.9855369118780892,1.0,1.0,0.2379610991544226,0.4149702818515964,rainfall,rainfall_lag1,REVISE,True,0.09358162136913484,0.9855369118780892,0.8919552905089544
C5_Delayed_Rainfall,REVISE,,0.0235610986468901,0.3530925473016233,0.0604291994360478,1.0,1.0,0.9157591594741216,0.0684701998852718,temperature,rainfall_lag2,REVISE,True,0.027708179678635567,0.9157591594741216,0.888050979795486
